"","X.1","X","status","bed","bath","acre_lot","city","state","house_size","house_price","size_level"
"24",24,25,"for_sale",3,2,0.73,"Amherst","Massachusetts",1559,495,"1000-2000"
"25",25,26,"for_sale",2,1,2,"Conway","Massachusetts",1600,350,"1000-2000"
"26",26,27,"for_sale",4,2,0.33,"Buckland","Massachusetts",2246,180,"2000-3000"
"27",27,28,"for_sale",2,2,0.51,"Granby","Massachusetts",2000,397,"1000-2000"
"28",28,29,"for_sale",4,3,0.63,"Greenfield","Massachusetts",2624,150,"2000-3000"
"29",29,30,"for_sale",3,1,0.14,"Northampton","Massachusetts",1072,105,"1000-2000"
"30",30,32,"for_sale",5,2,0.27,"Montague","Massachusetts",3008,289,"3000-4000"
"31",31,33,"for_sale",3,1,0.31,"Springfield","Massachusetts",1252,184.9,"1000-2000"
"32",32,34,"for_sale",2,2,0.92,"Whately","Massachusetts",1723,389.9,"1000-2000"
"33",33,36,"for_sale",4,3,0.29,"Chicopee","Massachusetts",1514,249.9,"1000-2000"
"34",34,37,"for_sale",4,2,0.56,"Granby","Massachusetts",1523,324.9,"1000-2000"
"35",35,38,"for_sale",3,2,1.02,"Belchertown","Massachusetts",1617,364.9,"1000-2000"
"36",36,39,"for_sale",2,1,0.28,"Chicopee","Massachusetts",1207,240,"1000-2000"
"37",37,40,"for_sale",2,1,0.4,"South Hadley","Massachusetts",1034,224.9,"1000-2000"
"38",38,41,"for_sale",3,2,0.52,"Hadley","Massachusetts",2039,442.5,"2000-3000"
"39",39,42,"for_sale",4,4,0.11,"Springfield","Massachusetts",1908,279.9,"1000-2000"
"40",40,43,"for_sale",3,2,0.11,"Ludlow","Massachusetts",2240,299.5,"2000-3000"
"41",41,44,"for_sale",3,2,0.51,"Easthampton","Massachusetts",1541,300,"1000-2000"
"42",42,45,"for_sale",3,3,1.82,"Orange","Massachusetts",2096,469.9,"2000-3000"
"43",43,46,"for_sale",4,2,0.22,"Chicopee","Massachusetts",1314,269.9,"1000-2000"
"44",44,47,"for_sale",4,2,0.3,"South Hadley","Massachusetts",2112,295,"2000-3000"
"45",45,48,"for_sale",8,4,0.11,"Chicopee","Massachusetts",4356,374.9,"4000-5000"
"46",46,49,"for_sale",6,2,0.23,"Holyoke","Massachusetts",2399,339,"2000-3000"
"47",47,50,"for_sale",3,2,0.23,"Chicopee","Massachusetts",1844,399.9,"1000-2000"
"48",48,51,"for_sale",2,2,0.05,"Chicopee","Massachusetts",1200,275,"1000-2000"
"49",49,52,"for_sale",4,3,0.41,"Easthampton","Massachusetts",2590,579.9,"2000-3000"
"50",50,53,"for_sale",3,2,0.3,"Holyoke","Massachusetts",1880,365,"1000-2000"
"51",51,54,"for_sale",1,1,0.31,"Belchertown","Massachusetts",640,215,"<1000"
"52",52,55,"for_sale",4,5,1.36,"Southampton","Massachusetts",4140,1249.9,"4000-5000"
"53",53,56,"for_sale",3,2,0.14,"Northampton","Massachusetts",1728,499,"1000-2000"
"54",54,57,"for_sale",3,2,0.12,"Northampton","Massachusetts",1531,489.9,"1000-2000"
"55",55,58,"for_sale",4,4,0.23,"Chicopee","Massachusetts",1764,359,"1000-2000"
"56",56,59,"for_sale",3,2,0.23,"Chicopee","Massachusetts",1712,389.999,"1000-2000"
"57",57,61,"for_sale",3,2,1.54,"Northampton","Massachusetts",1630,525,"1000-2000"
"58",58,63,"for_sale",1,1,0.4,"Barre","Massachusetts",634,65,"<1000"
"59",59,64,"for_sale",5,6,0.71,"Barre","Massachusetts",9484,1150,"9000-10000"
"60",60,65,"for_sale",4,2,0.6,"Barre","Massachusetts",1708,369.9,"1000-2000"
"61",61,66,"for_sale",2,2,0.23,"Barre","Massachusetts",1200,189.9,"1000-2000"
"62",62,67,"for_sale",3,1,0.12,"Barre","Massachusetts",1175,273.9,"1000-2000"
"63",63,71,"for_sale",4,4,1.84,"Barre","Massachusetts",2159,589.9,"2000-3000"
"64",64,72,"for_sale",2,1,0.6,"Belchertown","Massachusetts",802,169.999,"<1000"
"65",65,73,"for_sale",5,3,0.32,"Belchertown","Massachusetts",1850,299.9,"1000-2000"
"66",66,76,"for_sale",3,3,0.93,"Belchertown","Massachusetts",2055,499.9,"2000-3000"
"67",67,79,"for_sale",3,3,1.08,"Belchertown","Massachusetts",2360,435,"2000-3000"
"68",68,81,"for_sale",3,2,1.59,"Belchertown","Massachusetts",1499,350,"1000-2000"
"69",69,83,"for_sale",3,3,0.92,"Belchertown","Massachusetts",2100,525,"2000-3000"
"70",70,84,"for_sale",4,3,0.97,"Belchertown","Massachusetts",2475,629,"2000-3000"
"71",71,88,"for_sale",9,6,0.1,"Montague","Massachusetts",4081,399.9,"4000-5000"
"72",72,91,"for_sale",10,6,0.1,"Northampton","Massachusetts",8504,1025,"8000-9000"
"73",73,92,"for_sale",3,2,0.25,"Holyoke","Massachusetts",1637,174.9,"1000-2000"
"74",74,93,"for_sale",5,2,0.13,"Holyoke","Massachusetts",1924,175,"1000-2000"
"75",75,94,"for_sale",5,2,1.27,"Orange","Massachusetts",1495,160,"1000-2000"
"76",76,96,"for_sale",6,4,0.27,"Holyoke","Massachusetts",5743,560,"5000-6000"
"77",77,97,"for_sale",3,1,0.69,"Southampton","Massachusetts",1200,300,"1000-2000"
"78",78,98,"for_sale",4,2,0.73,"Holyoke","Massachusetts",2548,225,"2000-3000"
"79",79,100,"for_sale",4,3,0.24,"Holyoke","Massachusetts",2115,279,"2000-3000"
"80",80,102,"for_sale",4,2,0.11,"Holyoke","Massachusetts",1989,239.9,"1000-2000"
"81",81,103,"for_sale",1,2,0.53,"Greenfield","Massachusetts",3792,299.9,"3000-4000"
"82",82,104,"for_sale",4,6,2,"Granby","Massachusetts",2648,564.9,"2000-3000"
"83",83,105,"for_sale",3,2,0.22,"Easthampton","Massachusetts",2037,299.9,"2000-3000"
"84",84,106,"for_sale",4,2,0.14,"Holyoke","Massachusetts",1668,249.9,"1000-2000"
"85",85,107,"for_sale",5,2,1.85,"South Hadley","Massachusetts",4510,759,"4000-5000"
"86",86,108,"for_sale",4,2,0.4,"Hadley","Massachusetts",2856,575,"2000-3000"
"87",87,109,"for_sale",2,1,0.35,"Northampton","Massachusetts",3228,575,"3000-4000"
"88",88,110,"for_sale",3,2,0.05,"Holyoke","Massachusetts",1644,139,"1000-2000"
"89",89,111,"for_sale",2,1,0.25,"South Hadley","Massachusetts",800,110,"<1000"
"90",90,112,"for_sale",3,2,0.25,"Holyoke","Massachusetts",4620,215,"4000-5000"
"91",91,113,"for_sale",6,2,0.13,"Chicopee","Massachusetts",2640,250,"2000-3000"
"92",92,114,"for_sale",5,5,0.17,"Chicopee","Massachusetts",4283,379.9,"4000-5000"
"93",93,115,"for_sale",5,2,0.54,"Northampton","Massachusetts",2359,389.9,"2000-3000"
"94",94,116,"for_sale",3,1,0.33,"Chicopee","Massachusetts",1950,355.9,"1000-2000"
"95",95,117,"for_sale",4,2,1.3,"Deerfield","Massachusetts",2032,386,"2000-3000"
"96",96,123,"for_sale",2,1,0.5,"Orange","Massachusetts",1440,224.9,"1000-2000"
"97",97,124,"for_sale",4,4,1.59,"Deerfield","Massachusetts",3444,799,"3000-4000"
"98",98,125,"for_sale",5,2,0.15,"Chicopee","Massachusetts",2316,289.9,"2000-3000"
"99",99,126,"for_sale",4,2,0.17,"Chicopee","Massachusetts",2030,195.5,"2000-3000"
"100",100,130,"for_sale",1,1,0.49,"Shelburne","Massachusetts",988,375,"<1000"
"101",101,131,"for_sale",3,2,1.48,"Granby","Massachusetts",1683,526,"1000-2000"
"102",102,132,"for_sale",3,2,1.38,"Granby","Massachusetts",1683,535,"1000-2000"
"103",103,133,"for_sale",2,1,0.19,"Ludlow","Massachusetts",540,89,"<1000"
"104",104,134,"for_sale",4,2,0.14,"Chicopee","Massachusetts",1470,204.9,"1000-2000"
"105",105,137,"for_sale",2,1,0.15,"Ludlow","Massachusetts",500,79,"<1000"
"106",106,138,"for_sale",3,2,0.41,"Chicopee","Massachusetts",2003,479.9,"2000-3000"
"107",107,139,"for_sale",1,1,0.29,"Greenfield","Massachusetts",640,184.9,"<1000"
"108",108,140,"for_sale",2,1,0.15,"Easthampton","Massachusetts",1276,195,"1000-2000"
"109",109,141,"for_sale",3,3,0.1,"South Hadley","Massachusetts",1781,219.9,"1000-2000"
"110",110,142,"for_sale",4,2,0.35,"Ludlow","Massachusetts",1536,339.9,"1000-2000"
"111",111,144,"for_sale",3,1,0.13,"Holyoke","Massachusetts",1456,279.9,"1000-2000"
"112",112,145,"for_sale",3,2,0.56,"Granby","Massachusetts",1176,299.9,"1000-2000"
"113",113,147,"for_sale",2,1,0.22,"Greenfield","Massachusetts",816,215,"<1000"
"114",114,148,"for_sale",3,2,0.25,"Northampton","Massachusetts",1609,425,"1000-2000"
"115",115,149,"for_sale",4,3,0.46,"South Hadley","Massachusetts",2108,400,"2000-3000"
"116",116,150,"for_sale",4,5,1.02,"Granby","Massachusetts",2396,500,"2000-3000"
"117",117,151,"for_sale",12,6,0.6,"Easthampton","Massachusetts",5044,899.9,"5000-6000"
"118",118,152,"for_sale",4,3,1.68,"Ludlow","Massachusetts",2200,599.9,"2000-3000"
"119",119,153,"for_sale",5,2,0.38,"Northampton","Massachusetts",3364,689,"3000-4000"
"120",120,156,"for_sale",4,2,0.13,"Chicopee","Massachusetts",1596,249.987,"1000-2000"
"121",121,157,"for_sale",3,1,0.27,"Chicopee","Massachusetts",1170,295,"1000-2000"
"122",122,158,"for_sale",6,3,0.26,"Easthampton","Massachusetts",2828,399,"2000-3000"
"123",123,159,"for_sale",3,2,2,"Granby","Massachusetts",1950,689.9,"1000-2000"
"124",124,160,"for_sale",2,2,0.49,"Shelburne","Massachusetts",1264,595,"1000-2000"
"125",125,161,"for_sale",2,2,0.49,"Shelburne","Massachusetts",1146,615,"1000-2000"
"126",126,162,"for_sale",3,2,1.38,"Granby","Massachusetts",2298,689.9,"2000-3000"
"127",127,166,"for_sale",3,1,0.26,"Chicopee","Massachusetts",1048,199.9,"1000-2000"
"128",128,167,"for_sale",4,2,0.14,"Holyoke","Massachusetts",2040,185,"2000-3000"
"129",129,168,"for_sale",2,1,0.55,"Greenfield","Massachusetts",1130,189.9,"1000-2000"
"130",130,169,"for_sale",3,2,0.65,"South Hadley","Massachusetts",1544,245,"1000-2000"
"131",131,170,"for_sale",4,2,0.12,"Holyoke","Massachusetts",1599,214.9,"1000-2000"
"132",132,171,"for_sale",3,2,0.25,"Holyoke","Massachusetts",1531,265,"1000-2000"
"133",133,172,"for_sale",3,2,0.5,"Erving","Massachusetts",1456,259.9,"1000-2000"
"134",134,173,"for_sale",5,2,0.85,"South Hadley","Massachusetts",1605,379.9,"1000-2000"
"135",135,175,"for_sale",7,5,0.15,"Chicopee","Massachusetts",3148,425,"3000-4000"
"136",136,177,"for_sale",3,2,0.66,"Holyoke","Massachusetts",1772,349.9,"1000-2000"
"137",137,178,"for_sale",3,1,0.29,"Greenfield","Massachusetts",1482,275,"1000-2000"
"138",138,179,"for_sale",4,2,0.62,"Ludlow","Massachusetts",1988,379.9,"1000-2000"
"139",139,180,"for_sale",4,2,0.43,"Hadley","Massachusetts",1782,445,"1000-2000"
"140",140,182,"for_sale",3,2,1.07,"Greenfield","Massachusetts",1100,340,"1000-2000"
"141",141,184,"for_sale",3,4,0.13,"South Hadley","Massachusetts",3000,349.9,"2000-3000"
"142",142,185,"for_sale",6,4,0.16,"Chicopee","Massachusetts",2844,300,"2000-3000"
"143",143,186,"for_sale",4,2,0.18,"Northampton","Massachusetts",2382,824.9,"2000-3000"
"144",144,187,"for_sale",4,1,0.91,"Easthampton","Massachusetts",1404,349.9,"1000-2000"
"145",145,188,"for_sale",24,9,0.13,"Chicopee","Massachusetts",9999,900,"9000-10000"
"146",146,189,"for_sale",4,2,0.11,"Chicopee","Massachusetts",1872,259.9,"1000-2000"
"147",147,190,"for_sale",4,1,0.21,"Williamsburg","Massachusetts",1272,319.9,"1000-2000"
"148",148,191,"for_sale",3,2,0.16,"Springfield","Massachusetts",1284,240,"1000-2000"
"149",149,192,"for_sale",5,5,2,"Williamsburg","Massachusetts",4476,1290,"4000-5000"
"150",150,193,"for_sale",3,1,0.26,"Holyoke","Massachusetts",1096,289.9,"1000-2000"
"151",151,194,"for_sale",3,2,1.39,"New Salem","Massachusetts",1232,419.9,"1000-2000"
"152",152,195,"for_sale",3,3,1.3,"Shutesbury","Massachusetts",2364,260,"2000-3000"
"153",153,196,"for_sale",2,2,0.23,"South Hadley","Massachusetts",1210,199.9,"1000-2000"
"154",154,200,"for_sale",4,2,0.59,"Hadley","Massachusetts",2394,439.5,"2000-3000"
"155",155,201,"for_sale",2,2,0.43,"Orange","Massachusetts",1247,245,"1000-2000"
"156",156,202,"for_sale",3,3,0.14,"Holyoke","Massachusetts",1978,289,"1000-2000"
"157",157,203,"for_sale",8,4,0.14,"Greenfield","Massachusetts",4192,299.9,"4000-5000"
"158",158,204,"for_sale",3,2,1.21,"Hatfield","Massachusetts",1062,329,"1000-2000"
"159",159,205,"for_sale",5,4,0.38,"Greenfield","Massachusetts",3606,525,"3000-4000"
"160",160,206,"for_sale",2,1,0.27,"Greenfield","Massachusetts",1200,235,"1000-2000"
"161",161,207,"for_sale",3,3,0.4,"Easthampton","Massachusetts",1916,449,"1000-2000"
"162",162,208,"for_sale",8,6,0.13,"Chicopee","Massachusetts",3111,324.999,"3000-4000"
"163",163,210,"for_sale",5,4,0.72,"Hadley","Massachusetts",4468,995,"4000-5000"
"164",164,211,"for_sale",4,1,0.26,"Chicopee","Massachusetts",1184,250,"1000-2000"
"165",165,212,"for_sale",3,2,0.54,"Granby","Massachusetts",1336,325,"1000-2000"
"166",166,214,"for_sale",3,2,0.23,"Montague","Massachusetts",1248,325,"1000-2000"
"167",167,215,"for_sale",2,1,0.5,"Northampton","Massachusetts",1072,399.999,"1000-2000"
"168",168,217,"for_sale",4,4,0.91,"South Hadley","Massachusetts",2420,547.5,"2000-3000"
"169",169,219,"for_sale",3,2,0.53,"Granby","Massachusetts",880,299.9,"<1000"
"170",170,220,"for_sale",2,1,0.48,"Southampton","Massachusetts",1115,319,"1000-2000"
"171",171,222,"for_sale",6,4,0.93,"Easthampton","Massachusetts",3845,549.9,"3000-4000"
"172",172,223,"for_sale",3,2,0.26,"Orange","Massachusetts",1300,349.99,"1000-2000"
"173",173,224,"for_sale",1,1,0.02,"Chicopee","Massachusetts",408,27.7,"<1000"
"174",174,225,"for_sale",3,2,0.2,"Chicopee","Massachusetts",1584,299.9,"1000-2000"
"175",175,226,"for_sale",3,2,0.05,"Orange","Massachusetts",1092,219.9,"1000-2000"
"176",176,228,"for_sale",3,1,0.47,"Athol","Massachusetts",1268,156.75,"1000-2000"
"177",177,229,"for_sale",3,3,0.13,"Holyoke","Massachusetts",1212,225,"1000-2000"
"178",178,231,"for_sale",3,2,0.47,"Ludlow","Massachusetts",1381,354.9,"1000-2000"
"179",179,232,"for_sale",6,3,0.31,"Holyoke","Massachusetts",2408,365,"2000-3000"
"180",180,233,"for_sale",3,1,0.15,"Chicopee","Massachusetts",1170,219,"1000-2000"
"181",181,234,"for_sale",3,2,0.27,"Chicopee","Massachusetts",1265,259.9,"1000-2000"
"182",182,235,"for_sale",4,2,0.17,"Holyoke","Massachusetts",2094,299.987,"2000-3000"
"183",183,237,"for_sale",7,4,0.33,"Orange","Massachusetts",2538,377,"2000-3000"
"184",184,238,"for_sale",10,5,0.21,"Chicopee","Massachusetts",4277,474.5,"4000-5000"
"185",185,239,"for_sale",3,3,1.84,"Westhampton","Massachusetts",1739,499.9,"1000-2000"
"186",186,241,"for_sale",4,2,0.13,"Holyoke","Massachusetts",1976,300,"1000-2000"
"187",187,242,"for_sale",3,1,0.34,"Easthampton","Massachusetts",1248,350,"1000-2000"
"188",188,243,"for_sale",4,2,0.16,"Chicopee","Massachusetts",1280,375,"1000-2000"
"189",189,244,"for_sale",6,3,2,"Hadley","Massachusetts",3060,599,"3000-4000"
"190",190,245,"for_sale",3,2,0.69,"Whately","Massachusetts",1550,599.9,"1000-2000"
"191",191,246,"for_sale",3,2,0.39,"Northampton","Massachusetts",900,225,"<1000"
"192",192,250,"for_sale",3,2,0.39,"Northampton","Massachusetts",1224,230,"1000-2000"
"193",193,253,"for_sale",5,4,0.72,"Hadley","Massachusetts",3100,948,"3000-4000"
"194",194,254,"for_sale",3,2,1,"Ludlow","Massachusetts",1300,450,"1000-2000"
"195",195,255,"for_sale",3,3,1,"Ludlow","Massachusetts",1872,525,"1000-2000"
"196",196,256,"for_sale",3,2,0.33,"Montague","Massachusetts",1770,266,"1000-2000"
"197",197,258,"for_sale",3,1,0.41,"Montague","Massachusetts",960,240,"<1000"
"198",198,259,"for_sale",2,2,0.57,"Orange","Massachusetts",924,149.9,"<1000"
"199",199,260,"for_sale",5,2,0.25,"Chicopee","Massachusetts",2856,330,"2000-3000"
"200",200,261,"for_sale",4,2,0.21,"Chicopee","Massachusetts",1303,269.9,"1000-2000"
"201",201,262,"for_sale",3,2,1.08,"Granby","Massachusetts",1463,346,"1000-2000"
"202",202,263,"for_sale",4,3,0.18,"Holyoke","Massachusetts",4704,249.9,"4000-5000"
"203",203,264,"for_sale",4,2,0.33,"Holyoke","Massachusetts",2003,225,"2000-3000"
"204",204,265,"for_sale",3,1,0.15,"Greenfield","Massachusetts",1416,235,"1000-2000"
"205",205,267,"for_sale",3,3,0.84,"Easthampton","Massachusetts",2495,399.9,"2000-3000"
"206",206,269,"for_sale",3,1,0.4,"Williamsburg","Massachusetts",1529,265,"1000-2000"
"207",207,270,"for_sale",3,2,0.33,"Chicopee","Massachusetts",1650,299.999,"1000-2000"
"208",208,271,"for_sale",4,2,0.13,"Holyoke","Massachusetts",1529,229,"1000-2000"
"209",209,272,"for_sale",4,3,0.28,"Chicopee","Massachusetts",2400,425,"2000-3000"
"210",210,273,"for_sale",3,2,1.92,"Easthampton","Massachusetts",1643,474.9,"1000-2000"
"211",211,274,"for_sale",3,1,0.46,"Northampton","Massachusetts",909,319,"<1000"
"212",212,275,"for_sale",3,1,0.65,"West Springfield","Massachusetts",1424,299,"1000-2000"
"213",213,276,"for_sale",4,2,1.2,"Holyoke","Massachusetts",2070,324.9,"2000-3000"
"214",214,277,"for_sale",3,1,0.8,"Easthampton","Massachusetts",1040,309,"1000-2000"
"215",215,278,"for_sale",3,1,0.51,"Granby","Massachusetts",960,254.9,"<1000"
"216",216,279,"for_sale",4,1,1.06,"Holyoke","Massachusetts",1243,279.9,"1000-2000"
"217",217,281,"for_sale",6,2,0.13,"Chicopee","Massachusetts",2288,294.9,"2000-3000"
"218",218,282,"for_sale",5,2,0.51,"Chicopee","Massachusetts",2264,299.9,"2000-3000"
"219",219,284,"for_sale",6,5,0.08,"Springfield","Massachusetts",5992,399,"5000-6000"
"220",220,287,"for_sale",4,3,1.6,"Blandford","Massachusetts",1960,399.9,"1000-2000"
"221",221,288,"for_sale",4,3,0.69,"Blandford","Massachusetts",3476,675,"3000-4000"
"222",222,294,"for_sale",4,2,0.11,"Springfield","Massachusetts",1180,239.999,"1000-2000"
"223",223,295,"for_sale",2,1,0.91,"East Windsor","Connecticut",960,215,"<1000"
"224",224,296,"for_sale",3,1,0.24,"Ware","Massachusetts",1309,230,"1000-2000"
"225",225,297,"for_sale",2,1,0.36,"Vernon","Connecticut",860,144.9,"<1000"
"226",226,298,"for_sale",3,2,0.19,"Manchester","Connecticut",1280,174.9,"1000-2000"
"227",227,299,"for_sale",4,2,0.38,"East Windsor","Connecticut",1617,289.9,"1000-2000"
"228",228,301,"for_sale",3,2,0.4,"Ware","Massachusetts",1911,239.9,"1000-2000"
"229",229,303,"for_sale",6,2,0.13,"Springfield","Massachusetts",2418,249.9,"2000-3000"
"230",230,304,"for_sale",3,3,0.92,"Ellington","Connecticut",1960,349.9,"1000-2000"
"231",231,306,"for_sale",3,1,1.43,"East Windsor","Connecticut",1351,239.9,"1000-2000"
"232",232,307,"for_sale",3,2,0.87,"Vernon","Connecticut",1850,299.9,"1000-2000"
"233",233,308,"for_sale",4,1,0.64,"Longmeadow","Massachusetts",1296,329,"1000-2000"
"234",234,309,"for_sale",12,3,0.15,"Springfield","Massachusetts",3902,369.9,"3000-4000"
"235",235,310,"for_sale",10,4,0.22,"Springfield","Massachusetts",4420,369.9,"4000-5000"
"236",236,311,"for_sale",4,3,0.96,"Northbridge","Massachusetts",2700,929.9,"2000-3000"
"237",237,312,"for_sale",4,3,1.64,"Stafford","Connecticut",2056,399.9,"2000-3000"
"238",238,313,"for_sale",3,2,0.15,"Springfield","Massachusetts",1613,299.9,"1000-2000"
"239",239,314,"for_sale",4,2,0.4,"Enfield","Connecticut",1296,249.9,"1000-2000"
"240",240,315,"for_sale",5,3,0.14,"Springfield","Massachusetts",2328,289.9,"2000-3000"
"241",241,317,"for_sale",3,2,0.51,"Manchester","Connecticut",1828,349.9,"1000-2000"
"242",242,318,"for_sale",3,1,0.23,"Enfield","Connecticut",1220,249.9,"1000-2000"
"243",243,319,"for_sale",3,1,0.69,"Stafford","Connecticut",1192,300,"1000-2000"
"244",244,320,"for_sale",3,2,0.21,"Manchester","Connecticut",1660,279.9,"1000-2000"
"245",245,322,"for_sale",4,4,0.21,"Springfield","Massachusetts",2016,350,"2000-3000"
"246",246,323,"for_sale",3,1,0.39,"Palmer","Massachusetts",1166,260,"1000-2000"
"247",247,324,"for_sale",3,2,0.26,"Ellington","Connecticut",1174,248.9,"1000-2000"
"248",248,325,"for_sale",6,3,0.13,"Springfield","Massachusetts",3666,289.9,"3000-4000"
"249",249,326,"for_sale",3,1,0.46,"Manchester","Connecticut",1120,239.9,"1000-2000"
"250",250,327,"for_sale",6,3,0.11,"Springfield","Massachusetts",3594,375,"3000-4000"
"251",251,328,"for_sale",9,3,0.11,"Springfield","Massachusetts",3656,375,"3000-4000"
"252",252,329,"for_sale",4,2,1,"Brimfield","Massachusetts",1765,129.9,"1000-2000"
"253",253,330,"for_sale",2,1,0.35,"Brimfield","Massachusetts",814,164.9,"<1000"
"254",254,331,"for_sale",3,1,0.81,"Brimfield","Massachusetts",1312,379.9,"1000-2000"
"255",255,332,"for_sale",4,4,1.52,"Brimfield","Massachusetts",3408,559,"3000-4000"
"256",256,334,"for_sale",4,1,0.48,"Brimfield","Massachusetts",1432,375,"1000-2000"
"257",257,335,"for_sale",3,1,0.25,"Chester","Massachusetts",1367,115.9,"1000-2000"
"258",258,336,"for_sale",3,2,1,"Chester","Massachusetts",1272,225,"1000-2000"
"259",259,338,"for_sale",1,1,0.47,"Cummington","Massachusetts",608,160,"<1000"
"260",260,343,"for_sale",3,2,0.24,"Becket","Massachusetts",1422,149.9,"1000-2000"
"261",261,344,"for_sale",3,3,0.14,"Springfield","Massachusetts",1588,289.9,"1000-2000"
"262",262,346,"for_sale",4,3,0.35,"Agawam","Massachusetts",2150,499.8,"2000-3000"
"263",263,348,"for_sale",3,2,1.13,"Westfield","Massachusetts",2448,439.9,"2000-3000"
"264",264,349,"for_sale",3,2,0.49,"Agawam","Massachusetts",1708,379.9,"1000-2000"
"265",265,350,"for_sale",3,2,0.38,"Agawam","Massachusetts",1282,349.9,"1000-2000"
"266",266,351,"for_sale",4,2,0.42,"Otis","Massachusetts",1788,395,"1000-2000"
"267",267,354,"for_sale",2,1,0.12,"Springfield","Massachusetts",864,195,"<1000"
"268",268,357,"for_sale",3,2,0.37,"West Springfield","Massachusetts",1269,299.9,"1000-2000"
"269",269,360,"for_sale",3,1,0.25,"Springfield","Massachusetts",1224,249,"1000-2000"
"270",270,361,"for_sale",4,2,0.12,"West Springfield","Massachusetts",1888,300,"1000-2000"
"271",271,363,"for_sale",3,2,0.4,"Westfield","Massachusetts",1536,298,"1000-2000"
"272",272,364,"for_sale",3,2,0.34,"Westfield","Massachusetts",1424,299.413,"1000-2000"
"273",273,369,"for_sale",6,3,0.37,"Westfield","Massachusetts",3002,325,"3000-4000"
"274",274,371,"for_sale",6,3,0.14,"West Springfield","Massachusetts",2673,389.999,"2000-3000"
"275",275,373,"for_sale",3,2,0.34,"Westfield","Massachusetts",1536,349.9,"1000-2000"
"276",276,410,"for_sale",3,1,0.38,"Windsor Locks","Connecticut",1140,194.9,"1000-2000"
"277",277,427,"for_sale",4,2,1.03,"East Longmeadow","Massachusetts",1638,349.9,"1000-2000"
"278",278,428,"for_sale",4,2,0.18,"East Longmeadow","Massachusetts",1454,249.9,"1000-2000"
"279",279,429,"for_sale",1,1,0.09,"East Longmeadow","Massachusetts",793,129,"<1000"
"280",280,431,"for_sale",4,5,0.26,"East Longmeadow","Massachusetts",4122,674.444,"4000-5000"
"281",281,432,"for_sale",3,2,0.23,"East Longmeadow","Massachusetts",1259,249.9,"1000-2000"
"282",282,433,"for_sale",3,3,0.63,"East Longmeadow","Massachusetts",1902,445,"1000-2000"
"283",283,434,"for_sale",2,1,0.38,"East Longmeadow","Massachusetts",988,279,"<1000"
"284",284,435,"for_sale",3,1,0.8,"East Longmeadow","Massachusetts",1196,259,"1000-2000"
"285",285,436,"for_sale",4,3,0.28,"East Longmeadow","Massachusetts",2500,399,"2000-3000"
"286",286,437,"for_sale",4,2,0.24,"East Longmeadow","Massachusetts",1493,290.9,"1000-2000"
"287",287,438,"for_sale",4,4,0.97,"East Longmeadow","Massachusetts",3000,739.9,"2000-3000"
"288",288,439,"for_sale",4,3,0.58,"East Longmeadow","Massachusetts",1985,485,"1000-2000"
"289",289,440,"for_sale",4,3,0.22,"East Longmeadow","Massachusetts",2758,460,"2000-3000"
